,Name,Album,Artist,Year,Popularity,Duration,Tempo,Key,Valence,Liveness,Danceability,Instrumentalness,Acousticness,Energy
12,The Night We Met,Strange Trails,Lord Huron,2015,81,208.211,87.01,2,0.102,0.639,0.544,0.279,0.969,0.369
28,Level of Concern,Level of Concern,Twenty One Pilots,2020,74,220.05100000000002,122.012,4,0.77,0.144,0.754,0.00015,0.32,0.583
0,still feel.,"Now, Not Yet",halfâ€¢alive,2019,69,247.786,120.026,10,0.715,0.0492,0.779,0,0.148,0.516
3,In the Blood,The Search for Everything,John Mayer,2017,65,243.666,80.007,8,0.518,0.0983,0.546,1.04e-05,0.386,0.655
1,"Eat, Sleep, Wake (Nothing But You)",Everything Else Has Gone Wrong,Bombay Bicycle Club,2020,65,219.893,117.016,1,0.288,0.312,0.596,0.264,0.000132,0.807
2,TOOTIMETOOTIMETOOTIME,A Brief Inquiry Into Online Relationships,The 1975,2018,64,207.851,114.998,8,0.518,0.0933,0.667,0.0152,0.177,0.824
17,Heavy Hearted,Heavy Hearted,The Jungle Giants,2019,63,256.581,127.062,9,0.246,0.0906,0.642,2.73e-05,0.00166,0.887
7,I Lost a Friend,I Lost a Friend,FINNEAS,2019,62,237.02,169.316,11,0.216,0.119,0.453,0,0.587,0.209
11,Let Me Down Easy,Go Farther In Lightness,Gang of Youths,2017,62,319.346,139.01,2,0.927,0.142,0.672,0.302,0.22,0.899
13,Stupid Deep,Glory Sound Prep,Jon Bellion,2018,62,178.17600000000002,137.891,2,0.294,0.127,0.362,0.000631,0.732,0.377
25,Invincible,Fear Inoculum,TOOL,2019,61,764.456,87.477,9,0.389,0.109,0.459,0.786,0.00989,0.567
6,Wildfire,Tell Me It's Real (Expanded Edition),Seafret,2016,59,224.8,131.953,6,0.193,0.105,0.587,0.00243,0.252,0.58
8,Happy,No One Else Can Wear Your Crown (Deluxe),Oh Wonder,2020,54,172.906,101.979,6,0.516,0.0922,0.698,0,0.454,0.516
27,Crazy Bird,The Runaround,Wild Child,2015,52,241.266,93.483,3,0.708,0.318,0.779,0.000179,0.247,0.523
4,Nica Libres At Dusk,Noonday Dream,Ben Howard,2018,51,394.32,148.063,9,0.356,0.0976,0.453,0.392,0.76,0.426
21,Girl in Calico,Grey Fidelity,Tow'rs,2017,49,283.099,94.045,0,0.0388,0.076,0.431,0.501,0.828,0.192
15,These Cold Nights,These Cold Nights,Oshima Brothers,2019,49,216.066,93.006,7,0.276,0.151,0.67,0.0349,0.679,0.413
23,Luminous Beings,Singularity,Jon Hopkins,2018,45,711.0260000000001,120.004,8,0.2,0.174,0.653,0.932,0.163,0.485
14,Singularity,Extralife,Darlingside,2018,38,222.853,129.974,2,0.178,0.286,0.437,0.0428,0.616,0.336
20,"My Life, My Love",Love You Mean It,Family and Friends,2014,37,390.0,81.925,1,0.191,0.118,0.314,0.00609,0.0177,0.545
5,Hiding Bottles,So that you might hear me,Bear's Den,2019,36,245.053,140.054,2,0.412,0.0999,0.525,0.655,0.0915,0.744
24,Sooner or Later,Voice in the Silence,Mutemath,2018,32,302.493,96.007,9,0.489,0.288,0.586,0.104,0.401,0.71
22,Good I Bad Me,"Nothing Lasts, Nothing's Lost",Jakub Zytecki,2019,30,229.5,103.973,4,0.599,0.14,0.699,0.852,0.0933,0.877
9,Stone Circle,A World Gone Mad,Thermal And A Quarter,2020,6,358.906,143.808,4,0.172,0.125,0.445,0.0015,0.903,0.325
26,Zawal,Zawal,Tinariwen,2019,6,244.72,174.296,8,0.484,0.124,0.504,0.123,0.711,0.834
10,Trying My Best,Trying My Best,Anson Seabra,2019,1,222.467,143.027,5,0.342,0.0828,0.561,0,0.95,0.0587
19,How Good It Is,How Good It Is,Morningsiders,2018,0,194.523,113.157,0,0.255,0.0975,0.647,5.02e-05,0.573,0.394
18,The King is Dead,Summerland,The Herd,2008,0,251.506,100.033,9,0.684,0.103,0.754,0,0.158,0.639
16,The Ghost In Your Smile,The Ghost In Your Smile // Seventeen,Jarle Skavhellen,2016,0,227.76,87.442,0,0.428,0.119,0.535,0.0358,0.439,0.455
